No,Kode,Digital Skill,Definisi,Definition
15,SVC 15 / PLF 21,Cloud Engineer,"Kemampuan untuk membangun dan memelihara sistem yang ada di cloud. Pekerjaan ini membutuhkan pengetahuan tentang arsitekture komputer, sistem jaringan, operating system, dan infrastructure as code.","The ability to build and maintain systems in the cloud. This work requires knowledge of computer architecture, network systems, operating systems, and infrastructure as code."
16,SVC 16 / PLF 24,DevOps Engineer,Kemampuan untuk pengembangan perangkat lunak yang digunakan sebagai metode hubungan antara development dan Operation. Tujuan dari DevOps adalah untuk mengubah dan meningkatkan hubungan agar lebih komunikasi dan meningkatkan kolaborasi yang lebih baik antara kedua unit tersebut.,The ability to develop software is used as a method of relationship between development and Operation. The purpose of DevOps is to change and improve relationships to better communicate and improve better collaboration between the two units.
17,SVC 17 / PLF 26,Front End Developer,"Kemampuan untuk mendesain wireframe (sketsa layout sebuah web) yang memudahkan user menggunakan programnya, dari segi tampilan fisik, animasi, warna, pola, serta meningkatkan sebuah kepuasan pengguna aplikasi/ pengunjung website untuk tetap meningkatkan kegunaan/kesenangan dalam berinteraksi pengguna dan produk tersebut.","The ability to design wireframes (sketch layouts of a web) that makes it easier for users to use the program, in terms of physical appearance, animation, color, pattern, as well as improving the user satisfaction of the application / website visitors to continue to increase usability / pleasure in interacting users and products."
18,SVC 18,Game Developer,Kemampuan untuk pengembangan dan pembuatan software game.,Capabilities for the development and creation of game software.
19,SVC 19,IT Auditor,"Kemampuan untuk mengelola resiko teknologi informasi dengan melakukan langkah-langkah identifikasi, mitigasi, implementasi pengendalian, evaluasi dan kontrol terhadap penanggulangan resiko yang sudah dilakukan. IT Auditor pengawasan dan pengendalian dari insfrastruktur teknologi secara menyeluruh.","The ability to manage information technology risks by carrying out identification, mitigation, implementation of control, evaluation and control of risk management has been carried out. IT Auditor scrutiny and control of the technology infrastructure as a whole."
20,SVC 20 / PLF 28,IT Security Engineer,"Kemampuan untuk melindungi jaringan dan sistem komputer perusahaan dari segala ancaman atau serangan keamanan. Selaiun itu, Pekerjaan ini juga membangun dan mengimplementasikan solusi keamanan yang dapat mempertahankan perusahaan dan aset jaringannya.","The ability to protect the company's network and computer systems from any security threats or attacks. Jamun, This work also builds and implements security solutions that can sustain the company and its network assets."
21,SVC 21 / PLF 18,Mobile Developer,"Kemampuan untuk mendesain program aplikasi untuk smartphone berbasis sistem operasi iOS maupun Android, serta bertanggung jawab terhadap manajemen konten di suatu aplikasi.","The ability to design app programs for smartphones based on both iOS and Android operating systems, as well as be responsible for content management in an app"
22,"SVC 22 / PLF 31
 / CON 23",Scrum Master,"Kemampuan untuk memfasilitasi guna menjembatani informasi dan interaksi antara mereka yang berada di luar Tim Scrum dengan Tim Scrum, dan membantu semua orang mengubah interaksi ini untuk memaksimalkan nilai yang diciptakan oleh Tim Scrum.","The ability to facilitate the bridging of information and interaction between those outside the Scrum Team and the Scrum Team, and help everyone change these interactions to maximize the value created by the Scrum Team."
23,SVC 23 / PLF 34,Software Quality Assurance,"Kemampuan untuk melakukan monitoring tugas development sesuai dengan standar dan prosedur yang ada, melakukan perancangan dan membuat test case, melaksanakan testing sesuai dengan test case, merumuskan dan merancang peningkatan efektifitas standar yang digunakan.","The ability to monitor development tasks in accordance with existing standards and procedures, design and make test cases, carry out testing according to the test case, formulate and design the improvement of the effectiveness of the standards used."
24,SVC 24 / PLF 35,System Documentation,"Kemampuan untuk mendokumentasikan technical spec, development & testing flow, dan manual dari suatu produk software. Selain itu juga bertugas untuk memelihara dan version management dari technical document yang telah dibuat.","Ability to document technical spec, development & testing flow, and manual of a software product. In addition, it is also responsible for maintaining and version management of technical documents that have been created."
25,SVC 25 / PLF 36,System Integrator,"Kemampuan untuk menghubungkan beberapa sistem komputerisasi dan software aplikasi, baik secara fisik maupun secara fungsional.","The ability to connect multiple computerized systems and application software, both physically and functionally."
26,SVC 26 / PLF 37,System Tester,Kemampuan untuk memastikan setiap kualitas perangkat lunak berjalan dengan baik dan sesuai dengan kebutuhan penggunanya.,The ability to ensure every quality of the software runs properly and according to the needs of its users.
27,SVC 27 / PLF 39,Artificial Intelligence,"Kemampuan untuk mengelola data yang besar dan menyusunnya menjadi kecerdasan buatan di dalam aplikasi komputer, sehingga mampu menggabungkan data dengan cepat.","The ability to manage large data and organize it into artificial intelligence in computer applications, so it is able to combine data quickly."
28,SVC 28 / PLF 40,Data Analyst,"Kemampuan untuk menganalisa data-data dengan menggunakan statistik, deskriptif, prediktif, preskriptif, atau teknologi informasi tertentu serta melakukan identifikasi terhadap korelasi dan pola interpretasi yang terkandung di dalam data-data tersebut. Hasil identifikasi ini kelak akan menghasilkan informasi-informasi yang bermanfaat, utamanya bagi pihak perusahaan.","The ability to analyze data using statistics, descriptive, predictive, prescriptive, or certain information technologies and identify correlations and interpretation patterns contained in such data. The results of this identification will one day produce useful information, especially on the company's side."
29,SVC 29 / PLF 42,Data Scientist,"Kemampuan untuk memproses data mulai dari pengumpulan data, validasi data, pemodelan data, hingga visualisasi data. Kemampuan mencakup analisis data yang berguna untuk operasi, membangun data dari berbagai sumber dan sistem yang berbeda; integrasi, konsolidasi, dan pembersihan data, serta mengkompilasinya untuk digunakan oleh individu dalam aplikasi analisis.","The ability to process data ranging from data collection, data validation, data modeling, to data visualization. Capabilities include data analysis useful for operation, building data from a variety of different sources and systems; integration, consolidation, and cleaning of data, and compiling it for use by individuals in analytics applications."
30,SVC 30 / PLF 43,Database Administrator,"Kemampuan untuk mengimplementasikan prosedur keamanan dan aturan enkripsi untuk database, membersihkan dan mentransformasi data, serta menulis kode dengan menggunakan bahasa pemrograman data.","The ability to implement security procedures and encryption rules for databases, clean and transform data, and write code using the data programming language."
31,SVC 31,Digital Content Management,"Kemampuan untuk mempublikasikan konten-konten web dan memperbaharuinya agar selalu up to date. Menjaga site untuk berjalan dengan lancar, serta melakukan data tracking dimana pengguna (user) masuk, berapa lama mereka berada di site itu dan hal-hal lainnya yang bisa menjadi data penting untuk mendorong kegiatan marketing.","The ability to publish web content and update it to stay up to date. Keep the site running smoothly, as well as do data tracking where users (users) log in, how long they are on that site and other things that can be important data to encourage marketing activities."
32,SVC 32 / PLF 44,Digital Marketing,"Kemampuan untuk pemasaran dan branding produk dengan menggunakan media sosial, Search Engine Optimization (SEO), Search Engine Marketing, Social Media, Content Marketing, Email Marketing, Video Marketing, menganalisa setiap kebutuhan, memvisualisasikan data ke bentuk gambar serta menentukan strategi untuk meningkatkan penjualan.","Ability to marketing and branding products using social media, Search Engine Optimization (SEO), Search Engine Marketing, Social Media, Content Marketing, Email Marketing, Video Marketing, analyzing every need, visualizing data to image form and determining strategies to increase sales."
33,PLF 5,Blockchain Architect,Kemampuan untuk merancang sebuah end-to-end solutions system menggunakan teknology blockchain.,The ability to design an end-to-end solutions system using blockchain technology.
34,PLF 6,Cloud Architect,"Kemampuan untuk merancang arsitektur sebuah sistem yang scalable menggunakan teknologi cloud. Selain itu pekerjaan ini juga bertanggung jawab dalam pemeliharaan, monitoring dan perbaikan arsitektur cloud dari sistem jika diperlukan.","The ability to design the architecture of a scalable system using cloud technology. In addition, this work is also responsible for the maintenance, monitoring and repair of the cloud architecture of the system if necessary."
35,PLF 7,Cyber Security Analyst,"Kemampuan untuk merancang dan memelihara sistem(software, hardware dan networks) agar terhindar dari serangan cyber. Pekerjaan ini mencakup design sistem jaringan dan design fitur keamanan dari sistem/platform/applikasi yang dibuat dan didistribusikan oleh perusahaan.","The ability to design and maintain systems (software, hardware and networks) to avoid cyber attacks. This work includes network system design and security feature design of systems/platforms/applications created and distributed by the company."
36,PLF 9,IoT Platform Architect,"Kemampuan untuk mengelola bagian software dari setiap lapisan IoT, membuat design teknis, mengembangkan solusi dan membuat keputusan bisnis berdasarkan data yang diperoleh dan diproses pada saat proses instalasi sebelumnya.","The ability to manage the software parts of each IoT layer, create technical designs, develop solutions and make business decisions based on data obtained and processed during the previous installation process."
37,PLF 20,Blockchain Engineer,"Kemampuan untuk merancang, mengimplementasi dan memelihara sistem jaringan blockchain yang bisa dmanfaatkan untuk kepentingan bisnis perusahaan. Sistem jaringan blockchain ini bisa berupa public atau private blockchain tergantung dari kebutuhan dan strategi bisnis perusahaan.","The ability to design, implement and maintain blockchain network systems that can be used for corporate business interests. This blockchain network system can be a public or private blockchain depending on the needs and business strategy of the company."
38,PLF 22,Cyber Security Engineer,"Kemampuan untuk melakukan pemeliharaan sistem dari ancaman serangan cyber, serta dapat melakukan riset dan pengimplentasian patch untuk memperbaiki lubang keamanan dalam sistem.","The ability to maintain systems from cyber attack threats, as well as being able to research and implant patches to fix security holes in the system."
39,PLF 23,Data Center Engineer,"Kemampuan untuk melakukan design, setting up, dan manajemen jaringan pada data center.","Ability to design, set up, and network management in data centers."
40,PLF 25,Digital Forensic Expert,"Kemampuan untuk melakukan penyelidikan atas security breach yang telah terjadi, ini dimaksudkan untuk mengetahui sumber masalah dari breach tersebut. Pekerjaan ini mencakup riset untuk mencari solusi agar security breach tidak terulang lagi di kemudian hari.","The ability to conduct an investigation of the security breach that has occurred, this is intended to know the source of the problem from the breach. This work includes research to find solutions to prevent security breaches from recurrence in the near days."
41,PLF 27,Image Processing Engineer,Kemampuan untuk merancang dan mengimplementasikan teknologi image processing ke dalam suatu image proccessing as service.,The ability to design and implement image processing technology into an image proccessing as service.
42,PLF 29,Machine Learning Engineer,Kemampuan untuk mengimplementasikan algoritma-algoritma machine learning menjadi suatu sistem dan mengintegrasikan dengan sistem-sistem lainnya.,The ability to implement machine learning algorithms into a system and integrate with other systems.
43,PLF 30,Natural Language Processing Engineer,Kemampuan untuk mengolah data bahasa menjadi fitur yang bermanfaat menggunakan algoritma dan teknik Natural Language Processing.,The ability to process language data becomes a useful feature using natural language processing algorithms and techniques.
44,PLF 32,Site Reliability Engineer,"Kemampuan untuk merancang, membangun dan memelihara server untuk menjamin quuality of service dari sebuah sistem cloud. Memonitoring secara berkala keadaan server dengan tool monitoring dan menjamin quality of service dari sistem dengan mengimlementasikan auto scale di sistem cloud.","The ability to design, build and maintain servers to ensure the quuality of service of a cloud system. Periodically monitor the state of the server with the monitoring tool and guarantee the quality of service of the system by animate the auto scale in the cloud system."
45,PLF 33,Smart Contract Engineer,Kemampuan untuk mengimplementasikan business logic ke sebuah smart contract yang akan diintegrasikan ke blockchain network.,The ability to implement business logic into a smart contract that will be integrated into the blockchain network.
46,PLF 38,Vulnerability Analyst/ Penetration Tester,Kemampuan untuk melakukan monitoring secara periodik terhadap sistem untuk identikasi awal adanya breach di dalam sistem. Mengimplementasikan patch ke dalam sistem untuk menanggulangi breach dalam sistem.,The ability to periodically monitor the system for initial identikation of breaches in the system. Implement patches into the system to resolve breaches in the system
47,PLF 41,Data Modeller,Kemampuan untuk merancang database dan logical model dari suata data berdasarkan kebutuhan bisnis yang ada.,The ability to design databases and logical models of data based on existing business needs.
48,PLF 45,Sales Engineer,Kemampuan untuk memberikan solusi atas masalah yang dihadapi enterprise customer menggunakan platform yang dimiliki oleh Telkom.,The ability to provide solutions to problems faced by enterprise customers using the platform owned by Telkom.
49,CON 1,Network Infrastructure Capex Management,"Kemampuan untuk merencanakan, menilai investasi, membangun, mengelola dan menutup/menyelesaikan capex untuk infrastruktur network termasuk didalamnya proses perencanaan, pemilihan program, penilaian project, sourcing, warehousing, capacity, accounting & costing, verifikasi, perbaikan, perawatan, pengalihan teknologi, sampai dengan daur ulang atau disposal dari infrastruktur.","The ability to plan, assess investment, build, manage and close/complete capex for network infrastructure includes planning process, program selection, project assessment, sourcing, warehousing, capacity, accounting &amp; costing, verification, repair, maintenance, technology transfer, up to recycling or disposal of infrastructure."
50,CON 2,"Network Security (DDOS, Security CVVC Hardening)","Kemampuan untuk merencanakan, merancang, mengoptimalkan, mengimplementasikan, mengaudit, dan memecahkan masalah sistem keamanan jaringan.","The ability to plan, design, optimize, implement, audit, and troubleshoot network security systems."
51,CON 4,Digital Connectivity Market & Business Analysis,"Kemampuan menilai keadaan pasar (marketplace), strategi pesaing bisnis, dan tren teknologi digital, agar perusahaan dapat merespon dengan tepat, serta menghasilkan tindakan yang jelas dalam mendukung evolusi layanan digital, fungsi dan kapabilitas perusahaan.","The ability to assess marketplaces, business competitor strategies, and digital technology trends, so that companies can respond appropriately, and produce clear actions to support the evolution of digital services, functions and capabilities of the company."
52,CON 5,Tariff Voice Base Management and Analysis,"Kemampuan mengenali, memahami regulasi/ kebijakan dan parameter lainnya dalam menetapkan kebijakan tarif, costing produk, dan layanan voice base yang diberikan kepada pelanggan untuk meningkatkan daya saing.","Ability to recognize, understand regulations/ policies and other parameters in setting tariff policies, costing products, and voice base services provided to customers to improve competitiveness."
53,CON 6,Tariff IP Base Management & Analysis,"Kemampuan mengenali, memahami regulasi/ kebijakan dan parameter lainnya dalam menetapkan kebijakan tarif, costing produk, dan layanan IP base yang diberikan kepada pelanggan untuk meningkatkan daya saing.","Ability to recognize, understand regulations/ policies and other parameters in setting tariff policies, costing products, and ip base services provided to customers to improve competitiveness."
54,CON 7,Digital Connectivity Product Lifecycle Management (PLM),Kemampuan mengelola lifecycle produk digital connectivity yang dihasilkan Perusahaan.,Ability to manage the lifecycle of digital connectivity products produced by the Company.
55,CON 10,"CORD, Transport Software Define Network (T-SDN)",Kemampuan mengelola bandwith dan service lainnya untuk menambah nilai ekonomis dari infrastruktur jaringan menjadi CORD (Central Office Re-architect as Data Center) sebagai fondasi untuk mengembangkan cloud system dengan metode menyediakan framework agar software terkait dapat saling terkoneksi sehingga terjadi kesatuan end- to - end system secara koheren.,The ability to manage bandwidth and other services to increase the economic value of the network infrastructure to CORD (Central Office Re-architect as Data Center) as the foundation for developing cloud systems by providing frameworks so that related software can be connected to each other so that there is a coherent end-to-end system.
56,CON 11,"Satellite/Aerospace System (HAPS, LEO, MEO, dan GEO)
 Design",Kemampuan mengimplementasikan dan memberikan rekomendasi dalam melakukan perencanaan dan desain jaringan transmisi satelit untuk mendukung layanan telekomunikasi yang optimal dan sesuai dengan kebutuhan perusahaan sehingga dapat dipergunakan dengan baik dan tepat.,The ability to implement and provide recommendations in planning and designing satellite transmission networks to support optimal telecommunication services and in accordance with the needs of the company so that it can be used properly and appropriately.
57,CON 12,"IP Core & PE Nw Design and Operation (SR, Slicing, dll)","Kemampuan merencanakan, mendesain, mengoperasikan, mendeteksi dan mengatasi masalah IP Core Network.","Ability to plan, design, operate, detect and resolve IP Core Network issues."
58,CON 13,"NFV (Design, Operation & Orchestration)","Kemampuan dalam merancang, melakukan testing, memelihara serta melakukan orkestrasi pada perangkat network pada tahap inti untuk dapat memvalidasi rancangan transport dan sistem data network sehingga network dapat beroperasi dengan virtual secara optimal.","The ability to design, test, maintain and orchestrate network devices at the core stage to validate transport design and data network systems so that the network can operate virtually optimally."
59,CON 14,SDN Controller & Orchestration Design,Kemampuan dalam merancang dan mengorkestrasikan aplikasi software defined network (SDN) controller yang digunakan untuk mengelola flow control dari switch/router dalam meningkatkan pengelolaan network serta performansi dari aplikasi tersebut untuk mengembangkan intelligent network.,The ability to design and orchestrate software defined network (SDN) controller applications used to manage the flow control of switches/routers in improving network management and performance of such applications to develop intelligent networks.
60,CON 15,FTTx Access Network Planning & Design (OSP & ISP),Kemampuan mengimplementasikan dan memberikan rekomendasi dalam melakukan perencanaan dan desain Fiber to the x (FTTx) untuk layanan broadband access yang optimal dan sesuai dengan kebutuhan perusahaan sehingga dapat dipergunakan dengan baik dan tepat.,The ability to implement and provide recommendations in planning and designing Fiber to the x (FTTx) for broadband access services is optimal and in accordance with the needs of the company so that it can be used properly and appropriately.
61,CON 16,"5G/4G RAN & RF
 Planning",Kemampuan dalam merencanakan design dan segala hal menyangkut teknologi terkait 5G/4G beserta mitigasi dari trouble shooting yang dapat terjadi.,The ability to plan design and everything related to 5G/4G related technology along with mitigation of trouble shooting that can occur.
62,CON 17,IoT 5G (sensor),"Knowledge terkait teknologi, perangkat, pengembangan dan operasionalisasi dari IoT 5G (sensor).","Knowledge related to the technology, devices, development and operationalization of IoT 5G (sensors)."
63,CON 18,Digital Connectivity Product Development Stream Voice,"Kemampuan untuk pengembangan produk stream voice yang berkualitas mulai dari tahap inisiasi, pengembangan, pemasaran dan identifikasi cara untuk meningkatkan nilai bisnis produk DIgital Connectivity.","The ability to develop quality voice stream products starting from the initiation, development, marketing and identification stages of ways to increase the business value of DIgital Connectivity products."
64,CON 19,Digital Connectivity Product Development Stream Fixed BB,"Kemampuan untuk pengembangan produk stream fixed BB yang berkualitas mulai dari tahap inisiasi, pengembangan, pemasaran dan identifikasi cara untuk meningkatkan nilai bisnis produk DIgital Connectivity.","The ability to develop quality fixed BB stream products starting from the initiation, development, marketing and identification stages of ways to increase the business value of DIgital Connectivity products."
65,CON 20,Digital Connectivity Product Development Stream DataComm,"Kemampuan untuk pengembangan produk stream datacomm yang berkualitas mulai dari tahap inisiasi, pengembangan, pemasaran dan identifikasi cara untuk meningkatkan nilai bisnis produk DIgital Connectivity.","The ability to develop quality datacomm stream products from the initiation, development, marketing and identification stages of ways to increase the business value of DIgital Connectivity products."
66,CON 21,Digital Connectivity Product Development Stream DCC (IaaS),"Kemampuan untuk pengembangan produk stream DCC (IaaS) yang berkualitas mulai dari tahap inisiasi, pengembangan, pemasaran dan identifikasi cara untuk meningkatkan nilai bisnis produk DIgital Connectivity.","The ability to develop quality DCC (IaaS) stream products from the initiation, development, marketing and identification stages of ways to increase the business value of DIgital Connectivity products."
67,CON 24,"L1/L2/L3
 Aggregation Network (Metro, OTN, DWDM)","Kemampuan dalam perencanaan, design, build dan mengoperasikan serta memahami penyelesaian trouble shooting dari infrastruktur aggregation network (Metro, OTN, DWDM).","Capabilities in planning, design, build and operating and understanding the resolution of trouble shooting of aggregation network infrastructure (Metro, OTN, DWDM"
68,CON 25,Open Platform Network (Submarine Cable & Photonic),"Kemampuan dalam mengoperasikan serta memahami penyelesaian trouble shooting dari infrastruktur open platform network (Metro, OTN, DWDM).","Ability to operate and understand problem shooting solutions from open platform network infrastructure (Metro, OTN, DWDM)."
69,CON 26,"Satellite/Aerospace System (HAPS, LEO, MEO, dan GEO)
 Operation",Kemampuan mengoperasikan jaringan transmisi satelit untuk mendukung layanan telekomunikasi yang optimal dan sesuai dengan kebutuhan perusahaan sehingga dapat dipergunakan dengan baik dan tepat.,The ability to operate satellite transmission network to support optimal telecommunication services and according to the needs of the company so that it can be used properly and appropriately.
70,CON 27,"Broadband Service Control (BRAS, PCEF, PCRF,
 Radius, Cache, WAG, WAC)","Kemampuan dalam mengoperasikan, fungsi kontrol serta memahami penyelesaian trouble shooting dari infrastruktur Broadband Service.","Ability to operate, control functions as well as understand the resolution of trouble shooting of broadband service infrastructure."
71,CON 28,"Broadband Voice Service Control (Telephone, IN, ISDN)","Kemampuan dalam mengoperasikan, fungsi kontrol serta memahami penyelesaian trouble shooting dari infrastruktur Broadband Voice Service.","Ability to operate, control functions as well as understand the resolution of trouble shooting of broadband voice service infrastructure."
72,CON 29,"Multimedia Content Service Control (IPTV, OTT, CDN)","Kemampuan dalam mengoperasikan, fungsi kontrol serta memahami penyelesaian trouble shooting dari infrastruktur Broadband Voice Service.","Ability to operate, control functions as well as understand the resolution of trouble shooting of broadband voice service infrastructure."
73,CON 30,Data Center & ME,"Kemampuan dalam mengelola, mengontrol, dan operasionalisasi Data Center & ME.","Ability to manage, control, and operationalize Data Center & ME."
74,CON 31,FTTx Operation and Maintenance (OSP & ISP),"Kemampuan mengoperasikan, memelihara, troubleshooting, serta mengoptimalkan performance jaringan FTTx.","Ability to operate, maintain, troubleshoot, and optimize FTTx network performance."
75,CON 32,"NTE & Customer Premises (SD WAN Edge, CE Router, Switch, ONT, Access Point)","Kemampuan mendesain dan mengkofigurasikan NTE dan CPE (router, switch, access point, dll) sesuai scaling, service, dan trafik yang dibutuhkan pelanggan.","The ability to design and configure NTE and CPE (routers, switches, access points, etc.) according to the scaling, service, and traffic required by customers."
