Unnamed: 0,Link,Title,Subject,Level,What will you learn,des,Title_clean,Subject_clean,Level_clean,des_clean
10,https://online-learning.harvard.edu/course/hinduism-through-its-scriptures?delta=0,Hinduism Through Its Scriptures,HUMANITIES,Introductory,Religious and philosophical insights conveyed in Hindu texts How scriptures are interpreted to diverse ends in different historical contexts Sensitive appreciation of world religions,"Ever wondered about the sacred scriptures that have sustained for millennia one of the oldest and most diverse religions of the world - Hinduism? Want to discover the lessons this history may offer mankind in the 21st century? This religion course introduces the rich and diverse textual sources from which millions of Hindus have drawn religious inspiration for millennia. The Bhagavad Gita has offered philosophical insights to a number of modern thinkers. This course will introduce important passages from important Hindu sacred texts, their interpretations by moderns and will give you an opportunity to engage with them. This course is part of the World Religions Through Their Scriptures series. ",hinduism scriptures,humanities,introductory,ever wondered sacred scriptures sustained millennia oldest diverse religions world hinduism discover lessons history may offer mankind century religion course introduces rich diverse textual sources millions hindus drawn religious inspiration millennia bhagavad gita offered philosophical insights number modern thinkers course introduce important passages important hindu sacred texts interpretations moderns give opportunity engage course part world religions scriptures series
11,https://online-learning.harvard.edu/course/christianity-through-its-scriptures?delta=0,Christianity Through Its Scriptures,HUMANITIES,Introductory,"What’s in the Bible, the book containing the sacred scriptures of Christians. An overview of contents with a focus on diverse interpretations of well-known passages. Exploration of select themes, such as how Christians approach diversity, attitudes toward non-Christian traditions, existential questions of suffering and violence, the encounter with modern science, the roles of women, liturgical time and pilgrimage.","Christianity is a global religion. From modest beginnings 2,000 years ago, it has grown to encompass nearly a third of the human population. Diverse in languages, cultures, histories, and creeds, Christians nonetheless share a common collection of sacred scripture called the Bible. This religion course introduces you to the Bible and its scripture and asks the questions: What are the contents, languages, and forms of Bibles in various times and places? How have Christians lived out their stories and teachings? How does Christian history reflect the contested and varied uses of scripture—in the ancient Roman world where Christianity began, in its spread through European and American colonialism, in the diverse forms it takes in varied locations around the globe? You will begin to explore these questions and others while learning about the content and interpretations of these sacred texts.",christianity scriptures,humanities,introductory,christianity global religion modest beginnings years ago grown encompass nearly third human population diverse languages cultures histories creeds christians nonetheless share common collection sacred scripture called bible religion course introduces bible scripture asks questions contents languages forms bibles various times places christians lived stories teachings christian history reflect contested varied uses scripture ancient roman world christianity began spread european american colonialism diverse forms takes varied locations around globe begin explore questions others learning content interpretations sacred texts
12,https://online-learning.harvard.edu/course/sikhism-through-its-scriptures-0?delta=0,Sikhism Through Its Scriptures,HUMANITIES,Introductory,"Exploration of a foundational Sikh text, the Japji, which was composed by Guru Nanak and is recited by Sikhs as part of their morning prayers The place of Guru Granth Sahib, the Sikh scripture, in Sikh life Interpretative skills to engage in a nuanced reading of Guru Granth Sahib Gurmat Sangit, the Sikh musical tradition, as represented in the Sikh scripture and its cultural context The aesthetics of Sikhi, including literature, art, and music The political dimensions of Sikh scripture and its impact on the evolution of Sikhs as a Panth or community","Sikhi, commonly known as Sikhism, is a monotheistic religious tradition that was founded by Guru Nanak in late fifteenth-century Panjab in South Asia. Today, Sikhi’s approximately twenty-five to thirty million adherents can be found all over the globe, making it one of the six major religions of the world. Sikhi encompasses several religious, social, economic and political institutions, most of which were established and nurtured by Guru Nanak and his nine successors, known as Sikh Gurus.  For over five hundred years, Sikhs in the Panjab and all over the world have engaged with their scripture, the Guru Granth Sahib, through the devotional practices of exegesis, singing, recitation, memorization, and calligraphy.  This course examines the Sikh scripture from a doctrinal and historical perspective by providing an overview of Sikh teachings as well as the historical context within which the scripture evolved and became canonized. It also examines the musical and aesthetic dimensions of the Sikh scripture, as well as ways in which the voluminous text has provided Sikhs with a social, ethical, spiritual and political message to help them respond to and shape the world around them.",sikhism scriptures,humanities,introductory,sikhi commonly known sikhism monotheistic religious tradition founded guru nanak late fifteenth century panjab south asia today sikhi approximately twenty five thirty million adherents found globe making six major religions world sikhi encompasses several religious social economic political institutions established nurtured guru nanak nine successors known sikh gurus five hundred years sikhs panjab world engaged scripture guru granth sahib devotional practices exegesis singing recitation memorization calligraphy course examines sikh scripture doctrinal historical perspective providing overview sikh teachings well historical context within scripture evolved became canonized examines musical aesthetic dimensions sikh scripture well ways voluminous text provided sikhs social ethical spiritual political message help respond shape world around
13,https://online-learning.harvard.edu/course/malariax-defeating-malaria-genes-globe?delta=0,MalariaX: Defeating Malaria from the Genes to the Globe,HEALTH & MEDICINE,Intermediate,"The biology of the malaria parasite, the mosquito vector, and the human host The challenges of eradicating malaria in complex ecosystems Scientific and technological approaches for malaria control and elimination Historical, political, social, and economic contexts of malaria control, elimination, and eradication efforts How health systems effectively monitor and respond to malaria","How can we eradicate malaria? Explore the scientific and technological underpinnings of malaria, as well as the historical, political, social, and economic contexts in which control, elimination, and eradication efforts unfold. Through foundational lectures and supplemental interviews, this course provides participants with a toolbox of knowledge and skills. Learners will be guided through the analysis of real-world data and its effective use in problem-solving. Analytical approaches focus on how to develop and implement evidence-based intervention strategies to contribute to national and local malaria eradication efforts.",malariax defeating malaria genes globe,health medicine,intermediate,eradicate malaria explore scientific technological underpinnings malaria well historical political social economic contexts control elimination eradication efforts unfold foundational lectures supplemental interviews course provides participants toolbox knowledge skills learners guided analysis real world data effective use problem solving analytical approaches focus develop implement evidence based intervention strategies contribute national local malaria eradication efforts
14,https://online-learning.harvard.edu/course/first-nights-monteverdi%E2%80%99s-l%E2%80%99orfeo-and-birth-opera?delta=0,Monteverdi’s L’Orfeo and the Birth of Opera,ART & DESIGN,Introductory,"Identify and describe the technical and formal aspects of 17th century opera Understand the instruments of Monteverdi’s orchestra, as well as the voice types of the singers Appreciate cultural context and performance circumstances of Monteverdi’s L’Orfeo","Claudio Monteverdi’s L’Orfeo premiered in Mantua in 1607 and continues to be regarded as one of the most important examples of early opera. With L’Orfeo, Monteverdi helped to establish the techniques and traditions that continue to inform the genre of opera to this day. Harvard’s Thomas Forrest Kelly (Morton B. Knafel Professor of Music) guides learners through the first half of L’Orfeo, highlighting aspects of operatic form and dramatic technique, the rehearsals and cultural context for the premiere performance, and the work’s continued relevance today. There will also be a focus on Monteverdi’s life and work as a Renaissance court musician. In this music course, you will learn the basics of operatic form and analysis, the genres and styles used, and the circumstances of this opera’s first performance and subsequent history. Learners in this course need not have any prior musical experience.",monteverdi orfeo birth opera,art design,introductory,claudio monteverdi orfeo premiered mantua continues regarded important examples early opera orfeo monteverdi helped establish techniques traditions continue inform genre opera day harvard thomas forrest kelly morton b knafel professor music guides learners first half orfeo highlighting aspects operatic form dramatic technique rehearsals cultural context premiere performance work continued relevance today focus monteverdi life work renaissance court musician music course learn basics operatic form analysis genres styles used circumstances opera first performance subsequent history learners course need prior musical experience
15,https://online-learning.harvard.edu/course/data-science-probability?delta=1,Data Science: Probability,DATA SCIENCE,Introductory,Important concepts in probability theory including random variables and independence How to perform a Monte Carlo simulation The meaning of expected values and standard errors and how to compute them in R The importance of the Central Limit Theorem,"In this course, part of our Professional Certificate Program in Data Science, you will learn valuable concepts in probability theory. The motivation for this course is the circumstances surrounding the financial crisis of 2007–2008. Part of what caused this financial crisis was that the risk of some securities sold by financial institutions was underestimated. To begin to understand this very complicated event, we need to understand the basics of probability.  We will introduce important concepts such as random variables, independence, Monte Carlo simulations, expected values, standard errors, and the Central Limit Theorem. These statistical concepts are fundamental to conducting statistical tests on data and understanding whether the data you are analyzing is likely occurring due to an experimental method or to chance. Probability theory is the mathematical foundation of statistical inference which is indispensable for analyzing data affected by chance, and thus essential for data scientists.",data science probability,data science,introductory,course part professional certificate program data science learn valuable concepts probability theory motivation course circumstances surrounding financial crisis part caused financial crisis risk securities sold financial institutions underestimated begin understand complicated event need understand basics probability introduce important concepts random variables independence monte carlo simulations expected values standard errors central limit theorem statistical concepts fundamental conducting statistical tests data understanding whether data analyzing likely occurring due experimental method chance probability theory mathematical foundation statistical inference indispensable analyzing data affected chance thus essential data scientists
16,https://online-learning.harvard.edu/course/data-science-r-basics?delta=1,Data Science: R Basics,DATA SCIENCE,Introductory,"Basic R syntax Foundational R programming concepts such as data types, vectors arithmetic, and indexing How to perform operations in R including sorting, data wrangling using dplyr, and making plots","The first in our Professional Certificate Program in Data Science, this course will introduce you to the basics of R programming. You can better retain R when you learn it to solve a specific problem, so you’ll use a real-world dataset about crime in the United States. You will learn the R skills needed to answer essential questions about differences in crime across the different states. We’ll cover R's functions and data types, then tackle how to operate on vectors and when to use advanced functions like sorting. You’ll learn how to apply general programming features like “if-else,” and “for loop” commands, and how to wrangle, analyze and visualize data. Rather than covering every R skill you might need, you’ll build a strong foundation to prepare you for the more in-depth courses later in the series, where we cover concepts like probability, inference, regression, and machine learning. We help you develop a skill set that includes R programming, data wrangling with dplyr, data visualization with ggplot2, file organization with UNIX/Linux, version control with git and GitHub, and reproducible document preparation with RStudio. The demand for skilled data science practitioners is rapidly growing, and this series prepares you to tackle real-world data analysis challenges.",data science r basics,data science,introductory,first professional certificate program data science course introduce basics r programming better retain r learn solve specific problem use real world dataset crime united states learn r skills needed answer essential questions differences crime across different states cover r functions data types tackle operate vectors use advanced functions like sorting learn apply general programming features like else loop commands wrangle analyze visualize data rather covering every r skill might need build strong foundation prepare depth courses later series cover concepts like probability inference regression machine learning help develop skill set includes r programming data wrangling dplyr data visualization file organization unix linux version control git github reproducible document preparation rstudio demand skilled data science practitioners rapidly growing series prepares tackle real world data analysis challenges
17,https://online-learning.harvard.edu/course/data-science-inference-and-modeling?delta=1,Data Science: Inference and Modeling,DATA SCIENCE,Introductory,"The concepts necessary to define estimates and margins of errors of populations, parameters, estimates and standard errors in order to make predictions about data  How to use models to aggregate data from different sources The very basics of Bayesian statistics and predictive modeling","Statistical inference and modeling are indispensable for analyzing data affected by chance, and thus essential for data scientists. In this course, you will learn these key concepts through a motivating case study on election forecasting.  This course will show you how inference and modeling can be applied to develop the statistical approaches that make polls an effective tool and we'll show you how to do this using R. You will learn concepts necessary to define estimates and margins of errors and learn how you can use these to make predictions relatively well and also provide an estimate of the precision of your forecast.  Once you learn this you will be able to understand two concepts that are ubiquitous in data science: confidence intervals, and p-values. Then, to understand statements about the probability of a candidate winning, you will learn about Bayesian modeling. Finally, at the end of the course, we will put it all together to recreate a simplified version of an election forecast model and apply it to the 2016 election.",data science inference modeling,data science,introductory,statistical inference modeling indispensable analyzing data affected chance thus essential data scientists course learn key concepts motivating case study election forecasting course show inference modeling applied develop statistical approaches make polls effective tool show using r learn concepts necessary define estimates margins errors learn use make predictions relatively well provide estimate precision forecast learn able understand two concepts ubiquitous data science confidence intervals p values understand statements probability candidate winning learn bayesian modeling finally course put together recreate simplified version election forecast model apply election
18,https://online-learning.harvard.edu/course/data-science-productivity-tools?delta=1,Data Science: Productivity Tools,DATA SCIENCE,Introductory,How to use Unix/Linux to manage your file system How to perform version control with git How to start a repository on GitHub How to leverage the many useful features provided by RStudio,"A typical data analysis project may involve several parts, each including several data files and different scripts with code. Keeping all this organized can be challenging. Part of our Professional Certificate Program in Data Science, this course explains how to use Unix/Linux as a tool for managing files and directories on your computer and how to keep the file system organized. You will be introduced to the version control systems git, a powerful tool for keeping track of changes in your scripts and reports. We also introduce you to GitHub and demonstrate how you can use this service to keep your work in a repository that facilitates collaborations. Finally, you will learn to write reports in R markdown which permits you to incorporate text and code into a document. We'll put it all together using the powerful integrated desktop environment RStudio.",data science productivity tools,data science,introductory,typical data analysis project may involve several parts including several data files different scripts code keeping organized challenging part professional certificate program data science course explains use unix linux tool managing files directories computer keep file system organized introduced version control systems git powerful tool keeping track changes scripts reports introduce github demonstrate use service keep work repository facilitates collaborations finally learn write reports r markdown permits incorporate text code document put together using powerful integrated desktop environment rstudio
19,https://online-learning.harvard.edu/course/data-science-wrangling?delta=1,Data Science: Wrangling,DATA SCIENCE,Introductory,"Importing data into R from different file formats Web scraping How to tidy data using the tidyverse to better facilitate analysis String processing with regular expressions (regex)  Wrangling data using dplyr How to work with dates and times as file formats, and text mining","In this course, part of our Professional Certificate Program in Data Science, we cover several standard steps of the data wrangling process like importing data into R, tidying data, string processing, HTML parsing, working with dates and times, and text mining. Rarely are all these wrangling steps necessary in a single analysis, but a data scientist will likely face them all at some point.  Very rarely is data easily accessible in a data science project. It's more likely for the data to be in a file, a database, or extracted from documents such as web pages, tweets, or PDFs. In these cases, the first step is to import the data into R and tidy the data, using the tidyverse package. The steps that convert data from its raw form to the tidy form is called data wrangling. This process is a critical step for any data scientist. Knowing how to wrangle and clean data will enable you to make critical insights that would otherwise be hidden.",data science wrangling,data science,introductory,course part professional certificate program data science cover several standard steps data wrangling process like importing data r tidying data string processing html parsing working dates times text mining rarely wrangling steps necessary single analysis data scientist likely point rarely data easily accessible data science project likely data file database extracted documents web pages tweets pdfs cases first step import data r tidy data using tidyverse package steps convert data raw form tidy form called data wrangling process critical step data scientist knowing wrangle clean data enable make critical insights would otherwise hidden
20,https://online-learning.harvard.edu/course/data-science-linear-regression?delta=1,Data Science: Linear Regression,DATA SCIENCE,Introductory,How linear regression was originally developed by Galton What is confounding and how to detect it How to examine the relationships between variables by implementing linear regression in R,"Linear regression is commonly used to quantify the relationship between two or more variables. It is also used to adjust for confounding. This course, part of our Professional Certificate Program in Data Science, covers how to implement linear regression and adjust for confounding in practice using R. In data science applications, it is very common to be interested in the relationship between two or more variables. The motivating case study we examine in this course relates to the data-driven approach used to construct baseball teams described in Moneyball. We will try to determine which measured outcomes best predict baseball runs by using linear regression. We will also examine confounding, where extraneous variables affect the relationship between two or more other variables, leading to spurious associations. Linear regression is a powerful technique for removing confounders, but it is not a magical process. It is essential to understand when it is appropriate to use, and this course will teach you when to apply this technique.",data science linear regression,data science,introductory,linear regression commonly used quantify relationship two variables used adjust confounding course part professional certificate program data science covers implement linear regression adjust confounding practice using r data science applications common interested relationship two variables motivating case study examine course relates data driven approach used construct baseball teams described moneyball try determine measured outcomes best predict baseball runs using linear regression examine confounding extraneous variables affect relationship two variables leading spurious associations linear regression powerful technique removing confounders magical process essential understand appropriate use course teach apply technique
21,https://online-learning.harvard.edu/course/data-science-machine-learning?delta=1,Data Science: Machine Learning,COMPUTER SCIENCE,Introductory,The basics of machine learning How to perform cross-validation to avoid overtraining Several popular machine learning algorithms How to build a recommendation system What is regularization and why it is useful,"Perhaps the most popular data science methodologies come from machine learning. What distinguishes machine learning from other computer guided decision processes is that it builds prediction algorithms using data. Some of the most popular products that use machine learning include the handwriting readers implemented by the postal service, speech recognition, movie recommendation systems, and spam detectors. In this course, part of our Professional Certificate Program in Data Science, you will learn popular machine learning algorithms, principal component analysis, and regularization by building a movie recommendation system. You will learn about training data, and how to use a set of data to discover potentially predictive relationships. As you build the movie recommendation system, you will learn how to train algorithms using training data so you can predict the outcome for future datasets. You will also learn about overtraining and techniques to avoid it such as cross-validation. All of these skills are fundamental to machine learning.",data science machine learning,computer science,introductory,perhaps popular data science methodologies machine learning distinguishes machine learning computer guided decision processes builds prediction algorithms using data popular products use machine learning include handwriting readers implemented postal service speech recognition movie recommendation systems spam detectors course part professional certificate program data science learn popular machine learning algorithms principal component analysis regularization building movie recommendation system learn training data use set data discover potentially predictive relationships build movie recommendation system learn train algorithms using training data predict outcome future datasets learn overtraining techniques avoid cross validation skills fundamental machine learning
22,https://online-learning.harvard.edu/course/data-science-visualization?delta=1,Data Science: Visualization,DATA SCIENCE,Introductory,Data visualization principles How to communicate data-driven findings How to use ggplot2 to create custom plots The weaknesses of several widely-used plots and why you should avoid them,"As part of our Professional Certificate Program in Data Science, this course covers the basics of data visualization and exploratory data analysis. We will use three motivating examples and ggplot2, a data visualization package for the statistical programming language R. We will start with simple datasets and then graduate to case studies about world health, economics, and infectious disease trends in the United States. We’ll also be looking at how mistakes, biases, systematic errors, and other unexpected problems often lead to data that should be handled with care. The fact that it can be difficult or impossible to notice a mistake within a dataset makes data visualization particularly important. The growing availability of informative datasets and software tools has led to increased reliance on data visualizations across many areas. Data visualization provides a powerful way to communicate data-driven findings, motivate analyses, and detect flaws. This course will give you the skills you need to leverage data to reveal valuable insights and advance your career.",data science visualization,data science,introductory,part professional certificate program data science course covers basics data visualization exploratory data analysis use three motivating examples data visualization package statistical programming language r start simple datasets graduate case studies world health economics infectious disease trends united states looking mistakes biases systematic errors unexpected problems often lead data handled fact difficult impossible notice mistake within dataset makes data visualization particularly important growing availability informative datasets software tools led increased reliance data visualizations across many areas data visualization provides powerful way communicate data driven findings motivate analyses detect flaws course give skills need leverage data reveal valuable insights advance career
23,https://online-learning.harvard.edu/course/data-science-capstone?delta=1,Data Science: Capstone,DATA SCIENCE,Introductory,How to apply the knowledge base and skills learned throughout the series to a real-world problem Independently work on a data analysis project,"To become an expert data scientist you need practice and experience. By completing this capstone project you will get an opportunity to apply the knowledge and skills in R data analysis that you have gained throughout the series. This final project will test your skills in data visualization, probability, inference and modeling, data wrangling, data organization, regression, and machine learning. Unlike the rest of our Professional Certificate Program in Data Science, in this course, you will receive much less guidance from the instructors. When you complete the project you will have a data product to show off to potential employers or educational programs, a strong indicator of your expertise in the field of data science.",data science capstone,data science,introductory,become expert data scientist need practice experience completing capstone project get opportunity apply knowledge skills r data analysis gained throughout series final project test skills data visualization probability inference modeling data wrangling data organization regression machine learning unlike rest professional certificate program data science course receive much less guidance instructors complete project data product show potential employers educational programs strong indicator expertise field data science
